Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"(4as,10r,10as)-8,10-dihydroxy-7-isopropyl-1,1,4a-trimethyl-3,9,10,10a-tetrahydro-2h-phenanthren-4-one",NP0261930,CC(C)C1=CC=C2C(C[C@@H](O)[C@H]3C(C)(C)CCC(=O)[C@]23C)=C1O,316.44,3.7,2,3,57.53,1,0.65,8140
"(2r,3r)-3-hydroxy-2-(4-hydroxyphenyl)-5,7-dimethoxy-6,8-dimethyl-2,3-dihydro-1-benzopyran-4-one",NP0261804,COC1=C(C)C(OC)=C2C(=O)[C@H](O)[C@H](OC2=C1C)C1=CC=C(O)C=C1,344.36,2.7,2,6,85.22,3,0.32,8141
"4-hydroxy-n-[(3s,5r)-2-hydroxy-3-[(4-hydroxyphenyl)methyl]-3,4,5,6,7,8-hexahydro-1,4-diazocin-5-yl]benzamide",NP0261330,OC1=CC=C(C[C@@H]2N[C@@H](CCCN=C2O)NC(=O)C2=CC=C(O)C=C2)C=C1,369.42,2.1,5,5,114.18,4,0.3,8142
"4a,12a-dimethyl-4-(methylsulfanyl)-5h-1,6,12-trioxatetraphene-2,7-dione",NP0261209,CSC1=CC(=O)OC2(C)OC3=CC=C4C=CC(=O)OC4=C3CC12C,344.39,3.25,0,6,65.74,1,0.33,8143
"5-{3,5-dibromo-4-[(2-hydroxy-4,5-dihydro-1,3-oxazol-5-yl)methoxy]phenyl}-4,5-dihydro-1,3-oxazol-2-ol",NP0261040,BrC1=CC(=CC(Br)=C1OCC1CNC(=O)O1)C1CNC(=O)O1,436.06,2.48,2,5,85.89,4,0.38,8144
"16,20-dihydroxy-8,13,17-trioxahexacyclo[14.2.2.1¹,¹².0²,¹⁰.0⁵,⁹.0¹⁵,²¹]henicosa-5(9),6-diene-4,14-dione",NP0260871,OC1CC23COC1(O)C1C2C(CC2C3CC(=O)C3=C2OC=C3)OC1=O,346.34,0.6,2,7,106.2,0,0.67,8145
"3-(butanoyloxy)-6,8-dimethyl-8-azabicyclo[3.2.1]octan-3-yl (2e)-2-methylbut-2-enoate",NP0260652,CCCC(=O)OC1(CC2CC(C)C(C1)N2C)OC(=O)C(\C)=C\C,323.43,3.04,0,5,55.84,5,0.78,8146
"(3r,4s,5s,7r,9e,11r,12r)-12-ethyl-4-{[3-hydroxy-6-methyl-4-(methylamino)oxan-2-yl]oxy}-3,5,7,11-tetramethyl-1-oxacyclododec-9-ene-2,8-dione",NP0260041,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2OC(C)CC(NC)C2O)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]1C,439.59,2.85,2,7,94.09,4,0.83,8147
"methyl (1s,11s,12r,17s)-17-hydroxy-15-methyl-19-oxa-9,15-diazapentacyclo[9.6.3.0²,¹⁰.0³,⁸.0¹²,¹⁷]icosa-2(10),3,5,7-tetraene-11-carboxylate",NP0259433,COC(=O)[C@]12COC[C@H](C3=C1NC1=CC=CC=C31)[C@]1(O)CN(C)CC[C@H]21,356.42,1.39,2,5,74.79,1,0.55,8148
"4,11-dimethoxy-17-azatetracyclo[7.5.3.0¹,¹⁰.0²,⁷]heptadeca-2,4,6-triene-3,12,13-triol",NP0258739,COC1C(O)C(O)CC23CCNC(CC4=CC=C(OC)C(O)=C24)C13,335.4,0.31,4,6,91.18,2,0.67,8149
"(2s)-4-[(1r,3s,4s,5r,7r)-3,5-dimethyl-10-methylidene-9-oxo-8-oxatricyclo[5.3.0.0³,⁵]decan-4-yl]butan-2-yl acetate",NP0258738,C[C@@H](CC[C@@H]1[C@@]2(C)C[C@H]3OC(=O)C(=C)[C@H]3C[C@@]12C)OC(C)=O,306.4,3.25,0,4,52.6,4,0.78,8150
"14-ethyl-14-(2-hydroxyethyl)-16-oxa-8,10-diazatetracyclo[8.6.2.0¹,⁹.0²,⁷]octadeca-2,4,6-trien-15-one",NP0258034,CCC1(CCO)CCCN2CCC3(OC1=O)C2NC1=CC=CC=C31,330.43,2.46,2,5,61.8,3,0.63,8151
"(1s,6r,12r)-1-hydroxy-6-pentyl-5,15-dioxabicyclo[10.2.1]pentadecane-4,14-dione",NP0257561,CCCCC[C@@H]1CCCCC[C@@H]2CC(=O)[C@](O)(CCC(=O)O1)O2,326.43,3.27,1,5,72.83,4,0.89,8152
"(4s,5s,9s,10s)-20-(methoxycarbonyl)-5,9-dimethyl-2-oxo-14-oxa-7λ⁵-azahexacyclo[15.2.1.1⁷,¹⁰.0⁴,⁸.0⁹,¹⁹.0¹³,¹⁸]henicosa-1(19),7,13(18),17(20)-tetraen-7-ylium",NP0257393,COC(=O)C1=C2CCOC3=C2C2=C1C(=O)C[C@H]1[C@H](C)C[N+]4=C1[C@@]2(C)[C@@H](C4)CC3,380.46,2.56,0,4,55.61,1,0.61,8153
"10,11,16-trihydroxy-17-methoxy-13,13-dimethyl-6-methylidene-4,18-dioxapentacyclo[8.6.2.1³,⁷.0¹,¹².0²,⁹]nonadecan-5-one",NP0256859,COC1OC2(O)C(O)C3C(C)(C)CCC(O)C13C1C3CC(CC21)C(=C)C(=O)O3,394.46,0.96,3,7,105.45,1,0.86,8154
"(1r,1ar,1br,3ar,7ar,7bs,9ar)-3a-hydroxy-1-(hydroxymethyl)-4,4,7a,9a-tetramethyl-decahydrocyclopropa[a]phenanthren-9-one",NP0256728,C[C@]12[C@H](CO)[C@H]1[C@@H]1CC[C@@]3(O)C(C)(C)CCC[C@]3(C)[C@H]1CC2=O,320.47,3.18,2,3,57.53,1,0.95,8155
"(4br,8ar,10as)-10a-hydroperoxy-2-[(2s)-1-hydroxypropan-2-yl]-4b,8,8-trimethyl-5,6,7,8a,9,10-hexahydrophenanthren-3-one",NP0256627,C[C@H](CO)C1=C[C@]2(CC[C@@H]3C(C)(C)CCC[C@@]3(C)C2=CC1=O)OO,334.46,3.91,2,4,66.76,3,0.75,8156
"6-[(3s)-3,5-dimethylhex-4-en-1-yl]-6a-(1-hydroxy-3-oxopropyl)-3a,4,5,6-tetrahydro-3h-pentalene-1-carbaldehyde",NP0256558,C[C@@H](CCC1CCC2CC=C(C=O)C12C(O)CC=O)C=C(C)C,318.46,3.86,1,3,54.37,8,0.7,8157
"5,9-dimethoxy-14-methyl-7-oxa-14-azapentacyclo[9.6.2.0¹,⁶.0⁸,¹⁸.0¹⁵,¹⁹]nonadeca-8(18),9,11(19)-trien-4-ol",NP0256522,COC1C2OC3=C(OC)C=C4CCN(C)C5CCC2(CCC1O)C3=C45,345.44,2.19,1,5,51.16,2,0.7,8158
