Natural_Products_Name,NP_MRD_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,FractionCSP3,Cluster_ID
"7-[(3,3-dimethyloxiran-2-yl)methoxy]-5-hydroxy-2-phenyl-2,3-dihydro-1-benzopyran-4-one",NP0197381,CC1(C)OC1COC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC=CC=C1,340.38,3.65,1,5,68.29,4,0.35,5430
Castillene C,NP0055427,CO[C@H]1C2=CC=C3OC=CC3=C2O[C@]1(CC1=CC2=C(OCO2)C=C1)OC,354.36,3.83,0,6,59.29,4,0.3,5431
"2',4',4''-Trihydroxy-3',6'',6''-trimethylpyrano[2'',3'':6',5']dihydrochalcone",NP0055373,CC1=C(O)C(C(=O)CCC2=CC=CC=C2)=C2OC(C)(C)C[C@@H](O)C2=C1O,356.42,3.82,3,5,86.99,4,0.38,5432
Sophazrine,NP0055184,C=CCCC(=O)N1CCN2C[C@@H]3C[C@@H](CN4C(=O)C=CC=C34)[C@@H]2C1,327.43,1.44,0,4,45.55,3,0.58,5433
"5-hydroxy-4-[3-(2-hydroxyphenyl)prop-2-enoyl]-2,2,6,6-tetramethylcyclohex-4-ene-1,3-dione",NP0196099,CC1(C)C(O)=C(C(=O)C=CC2=CC=CC=C2O)C(=O)C(C)(C)C1=O,328.36,2.99,2,5,91.67,3,0.32,5434
"9-hydroxy-4,11,14-trimethyl-3,7-dioxapentacyclo[8.7.0.0¹,⁵.0⁴,⁸.0¹¹,¹⁵]heptadeca-13,15-diene-6,12,17-trione",NP0169046,CC1=CC(=O)C2(C)C3C(O)C4OC(=O)C5C4(C)OCC35C(=O)C=C12,330.34,0.34,1,6,89.9,0,0.61,5435
"4-ethenyl-3-hydroxy-2,4,7,14-tetramethyl-9-oxotricyclo[5.4.3.0¹,⁸]tetradecan-6-yl acetate",NP0219210,[H]O[C@]1([H])[C@]([H])(C([H])([H])[H])[C@@]23C([H])([H])C([H])([H])C(=O)[C@@]2([H])[C@](C([H])([H])[H])([C@]([H])(C([H])([H])[H])C([H])([H])C3([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[C@]1(C([H])=C([H])[H])C([H])([H])[H],362.51,3.91,1,4,63.6,2,0.82,5436
"(7as,9bs)-7a-(2-hydroxypropan-2-yl)-4,4,9b-trimethyl-1h,2h,3h,4ah,5h,7h,8ah-phenanthro[2,3-b]oxirene-6,9-dione",NP0245656,CC(C)(O)[C@]12CC3=C(C(=O)C1O2)[C@@]1(C)CCCC(C)(C)C1CC3=O,332.44,2.97,1,4,66.9,1,0.8,5437
"3-{4-hydroxy-5,7-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,8ah-cyclohepta[b]furan-6-yl}propyl acetate",NP0267012,CC1C(O)C2C(CC(C)=C1CCCOC(C)=O)OC(=O)C2=C,308.37,2.14,1,5,72.83,4,0.65,5438
"(9r,13r)-4,5,6,16,17,18-hexamethoxy-11-oxatetracyclo[13.4.0.0²,⁷.0⁹,¹³]nonadeca-1(15),2(7),3,5,16,18-hexaen-10-one",NP0209805,COC1=CC2=C(C[C@H]3COC(=O)[C@@H]3CC3=C2C=C(OC)C(OC)=C3OC)C(OC)=C1OC,444.48,3.29,0,8,81.68,6,0.46,5439
"5-hydroxy-2-(hydroxymethyl)-8,8-dimethyl-10-(3-methylbut-2-en-1-yl)pyrano[3,2-g]chromen-4-one",NP0246410,CC(C)=CCC1=C2OC(CO)=CC(=O)C2=C(O)C2=C1OC(C)(C)C=C2,342.39,3.68,2,5,79.9,3,0.35,5440
"1-[1-(dimethylamino)ethyl]-9a,11a-dimethyl-tetradecahydro-1h-cyclopenta[a]phenanthrene-6,7-diol",NP0289581,CC(C1CCC2C3CCC4C(O)C(O)CCC4(C)C3CCC12C)N(C)C,363.59,3.93,2,3,43.7,2,1.0,5441
"3-({2-hydroxy-hexahydro-3h-furo[3,2-b]pyridin-2-yl}methyl)quinazolin-4-one",NP0237437,OC1(CN2C=NC3=CC=CC=C3C2=O)CC2NCCCC2O1,301.35,0.63,2,6,76.38,2,0.5,5442
(+)-(R)-Balfourodinium,NP0051203,COC1=C2C(=CC=C1)C(OC)=C1C[C@@H](OC1=[N+]2C)C(C)(C)O,304.37,1.76,1,4,51.8,3,0.47,5443
Lycofawcine,NP0051050,C[C@H]1C[C@@]23[C@@H]4CCCN2CCC[C@]3(O)[C@H](C[C@H]4OC(C)=O)[C@@H]1O,323.43,1.31,2,5,70.0,1,0.94,5444
"n,3a,8-trimethyl-5-[(methyl-c-hydroxycarbonimidoyl)oxy]-2h,3h,8ah-pyrrolo[2,3-b]indole-1-carboximidic acid",NP0217159,CNC(=O)OC1=CC=C2N(C)C3N(CCC3(C)C2=C1)C(=O)NC,318.38,1.48,2,4,73.91,1,0.5,5445
"5-methyl-15-methylidene-7-oxa-10-azaheptacyclo[12.6.2.0¹,¹¹.0⁵,²⁰.0⁶,¹⁰.0¹²,¹⁷.0¹⁷,²¹]docosane-19,22-dione",NP0240709,CC12CCCC34C(C5CC6C(=C)CC5(CC(=O)C13)C4C6=O)N1CCOC21,353.46,2.57,0,4,46.61,0,0.82,5446
"5-hydroxy-2',2',5,8,10-pentamethyl-14-oxaspiro[pentacyclo[8.6.1.0¹,⁶.0⁸,¹⁶.0¹²,¹⁶]heptadecane-4,3'-pyra]-11-ene-6',9,13-trione",NP0278194,CC12CC3C4(CCC5(C=CC(=O)OC5(C)C)C3(C)O)CC(C)(C=C3C(=O)OCC143)C2=O,426.51,2.88,1,6,89.9,0,0.72,5447
"3,12-dihydroxy-7-methyl-11-(3-methylbut-2-en-1-yl)-8-oxatricyclo[7.4.0.0²,⁶]trideca-1(9),10,12-triene-13-carbaldehyde",NP0149970,CC1OC2=CC(CC=C(C)C)=C(O)C(C=O)=C2C2C(O)CCC12,316.4,3.35,2,4,66.76,3,0.53,5448
"(1r,2s,3r,7s,8s,9r)-8-hydroxy-5,5,8-trimethyl-10-oxo-11-oxatetracyclo[7.3.1.0¹,⁹.0³,⁷]tridecan-2-yl acetate",NP0149943,CC(=O)O[C@H]1[C@@H]2CC(C)(C)C[C@@H]2[C@](C)(O)[C@@]23C[C@@]12COC3=O,308.37,1.67,1,5,72.83,1,0.88,5449
"(1r,2s,13r,14r)-2,8,11-trihydroxy-5-methyl-15,17-dioxatetracyclo[11.2.2.0¹,¹⁴.0⁷,¹²]heptadeca-4,7,9,11-tetraen-16-one",NP0149912,CC1=CC[C@H](O)[C@@]23O[C@@H]2[C@H](OC3=O)C2=C(O)C=CC(O)=C2C1,304.3,1.09,3,6,99.52,0,0.44,5450
"5-(acetyloxy)-10-hydroperoxy-6,10-dimethyl-3-methylidene-2-oxo-3ah,4h,5h,8h,9h,11h,11ah-cyclodeca[b]furan-8-yl acetate",NP0258406,CC(=O)OC1CC(C)(CC2OC(=O)C(=C)C2CC(OC(C)=O)C(C)=C1)OO,382.41,2.33,1,8,108.36,3,0.63,5451
2-oxo-3-(3-phenylpropanoyl)-7-oxa-3-azabicyclo[4.1.0]heptan-5-yl acetate,NP0239706,CC(=O)OC1CN(C(=O)CCC2=CC=CC=C2)C(=O)C2OC12,303.31,0.69,0,5,76.21,4,0.44,5452
"5,8-dihydroxy-7-isopropyl-6-methoxy-1,1,4a-trimethyl-4,9a-dihydro-3h-fluorene-2,9-dione",NP0149826,COC1=C(O)C2=C(C(=O)C3C2(C)CCC(=O)C3(C)C)C(O)=C1C(C)C,346.42,3.69,2,5,83.83,2,0.6,5453
Cannabiripsol,NP0045053,CCCCCC1=CC(O)=C2[C@@H]3[C@H](O)[C@@](C)(O)CC[C@H]3C(C)(C)OC2=C1,348.48,3.9,3,4,69.92,4,0.71,5454
"(1e)-2-[(1r,2r,8s,10r,12s)-8-methyl-2,10-bis(2-oxopropyl)-3,11-dioxatricyclo[6.3.1.0¹,⁵]dodec-5-en-12-yl]ethenyl 3-methylbut-2-enoate",NP0149593,CC(=O)C[C@H]1OCC2=CC[C@@]3(C)C[C@H](CC(C)=O)O[C@@]12[C@H]3\C=C\OC(=O)C=C(C)C,416.51,3.85,0,6,78.9,7,0.62,5455
"15-(1,2-dihydroxypent-3-en-1-yl)-5-hydroxy-3,12-dimethyl-8,16-dioxatetracyclo[8.6.0.0²,⁷.0¹¹,¹⁵]hexadeca-1(10),2,4,6,13-pentaen-9-one",NP0149570,CC=CC(O)C(O)C12OC3=C(C1C(C)C=C2)C(=O)OC1=CC(O)=CC(C)=C31,370.4,2.53,3,6,100.13,3,0.38,5456
"(1r,2s,3r,9r,12s,14r,16s,20s)-3,8,8,14-tetramethyl-21-methylidene-7,18-dioxahexacyclo[12.7.1.0²,¹².0³,⁹.0¹²,²⁰.0¹⁶,²⁰]docos-4-ene-6,17,22-trione",NP0149408,C[C@@]12C[C@@H]3C(=O)OC[C@]33C(=C)[C@@H]([C@@H]4[C@]3(CC[C@@H]3[C@]4(C)C=CC(=O)OC3(C)C)C1)C2=O,410.51,3.63,0,5,69.67,0,0.72,5457
"2-isopropyl-5,9,13-trimethylcyclotetradeca-3,8,12-triene-1,2,5-triol",NP0149293,CC(C)C1(O)C=CC(C)(O)CCC=C(C)CCC=C(C)CC1O,322.49,3.9,3,3,60.69,1,0.7,5458
"(1r,5r,9r,10s,14r,15s,17s)-5-hydroxy-15-(hydroxymethyl)-2,9,17-trimethyl-6,13-dioxapentacyclo[12.3.1.0⁵,¹⁷.0⁷,¹⁶.0¹⁰,¹⁵]octadeca-2,7(16)-diene-4,8,12-trione",NP0149261,C[C@@H]1[C@@H]2CC(=O)O[C@@H]3C[C@@H]4C(C)=CC(=O)[C@]5(O)OC(=C([C@]45C)[C@]23CO)C1=O,374.39,0.64,2,7,110.13,1,0.65,5459
"3,6,9a-trimethyl-2,9-dioxo-octahydro-3h-azuleno[4,5-b]furan-8-yl acetate",NP0149202,CC1C2CCC(C)C3CC(OC(C)=O)C(=O)C3(C)C2OC1=O,308.37,2.12,0,5,69.67,1,0.82,5460
"7-[(3s)-3-(5,5-dimethyl-4-oxofuran-2-yl)butoxy]chromen-2-one",NP0149050,C[C@@H](CCOC1=CC=C2C=CC(=O)OC2=C1)C1=CC(=O)C(C)(C)O1,328.36,3.46,0,5,65.74,5,0.37,5461
"(1r,3ar,6r,7r,8r,12s,12as)-8-(acetyloxy)-12-hydroxy-1-(2-hydroxypropan-2-yl)-3a,6,10-trimethyl-1h,2h,3h,6h,7h,8h,11h,12h,12ah-cyclopenta[11]annulen-7-yl acetate",NP0148884,C[C@@H]1\C=C\[C@@]2(C)CC[C@H]([C@@H]2[C@@H](O)C\C(C)=C\[C@@H](OC(C)=O)[C@@H]1OC(C)=O)C(C)(C)O,422.56,3.56,2,6,93.06,3,0.75,5462
"methyl (4as,6ar,7as,8as,9r,9ar,9bs)-9-(acetyloxy)-4,4,6a,9b-tetramethyl-7-oxo-octahydro-1h-phenanthro[2,3-b]oxirene-7a-carboxylate",NP0148870,COC(=O)[C@]12O[C@H]1[C@H](OC(C)=O)[C@@H]1[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]1(C)C2=O,392.49,3.06,0,6,82.2,2,0.86,5463
obscurumine B,NP0027815,[H]C([H])([H])C(=O)O[C@]1([H])C([H])([H])[C@]2([H])C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]34N(C([H])([H])C([H])([H])C([H])([H])[C@]13[H])C([H])([H])C([H])([H])C([H])([H])[C@]24[H],305.42,2.41,0,4,46.61,1,0.89,5464
"4-(5,7-dihydroxy-2-methyl-4-oxochromen-6-yl)-1-methylpiperidin-2-one",NP0309494,CN1CCC(CC1=O)C1=C(O)C=C2OC(C)=CC(=O)C2=C1O,303.31,1.85,2,5,90.98,1,0.38,5465
"(4ar,5s,8s,8as)-8a-hydroxy-3,4a,5-trimethyl-2-oxo-4h,5h,6h,7h,8h-naphtho[2,3-b]furan-8-yl (2z)-2-methylbut-2-enoate",NP0280348,C\C=C(\C)C(=O)O[C@H]1CC[C@H](C)[C@@]2(C)CC3=C(C)C(=O)OC3=C[C@@]12O,346.42,3.19,1,5,72.83,2,0.6,5466
atractyloyne,NP0028827,[H]OC([H])([H])C(\[H])=C(/[H])C#CC#C\C([H])=C(/[H])\C(\[H])=C(/[H])[C@]([H])(O[H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],316.4,1.99,2,4,66.76,8,0.42,5467
"13-ethyl-2,6,6,10-tetramethyl-11,15-dioxatetracyclo[8.6.0.0²,⁷.0¹²,¹⁶]hexadecane-5,14-dione",NP0148592,CCC1C2OC3(C)CCC4C(C)(C)C(=O)CCC4(C)C3C2OC1=O,334.46,3.52,0,4,52.6,1,0.9,5468
"(1e,5r,11s,12s,15s)-4-ethyl-11,15-dihydroxy-12-methoxy-5-methyl-13-oxa-4-azatricyclo[10.2.1.0²,⁵]pentadec-1-en-3-one",NP0185246,CCN1C(=O)C2=C3CO[C@](OC)([C@H]3O)[C@@H](O)CCCCC[C@@]12C,325.41,0.96,2,5,79.23,2,0.82,5469
"[(4r,6s,9e,11r)-9,14-dimethyl-13-oxo-5,12-dioxatricyclo[9.3.0.0⁴,⁶]tetradeca-1(14),9-dien-4-yl]methyl (2z)-2-methylbut-2-enoate",NP0297332,C\C=C(\C)C(=O)OC[C@]12CCC3=C(C)C(=O)O[C@@H]3\C=C(C)\CC[C@@H]1O2,346.42,3.4,0,5,65.13,3,0.6,5470
"(2e)-5-[(4r,4ar,5s,6r,8as)-4,6-dihydroxy-5-(hydroxymethyl)-2,5,8a-trimethyl-3,4,4a,6,7,8-hexahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",NP0148557,C\C(CCC1=C(C)C[C@@H](O)[C@H]2[C@@](C)(CO)[C@H](O)CC[C@]12C)=C/C(O)=O,352.47,2.65,4,4,97.99,5,0.75,5471
"4-(4-hydroxyphenyl)-6,8,10-trimethyl-6h,6ah,7h,8h,9h,10h,10ah-isochromeno[4,3-c]pyridine-1,9-diol",NP0148472,CC1CC2C(C)OC3=C(C=NC(O)=C3C2C(C)C1O)C1=CC=C(O)C=C1,355.43,3.68,3,5,82.81,1,0.48,5472
"5-(acetyloxy)-4-hydroxy-2,6,10,10-tetramethyl-11-oxatricyclo[7.2.1.0¹,⁶]dodecan-7-yl 3-phenylprop-2-enoate",NP0148408,CC1CC(O)C(OC(C)=O)C2(C)C(CC3CC12OC3(C)C)OC(=O)C=CC1=CC=CC=C1,442.55,3.91,1,6,82.06,4,0.62,5473
4-[(2e)-7-(acetyloxy)-6-methylhept-2-en-2-yl]-3-hydroxybenzoic acid,NP0148379,CC(CC\C=C(/C)C1=CC=C(C=C1O)C(O)=O)COC(C)=O,306.36,3.47,2,4,83.83,7,0.41,5474
"[(1s,3e,6s,7r,9r)-4-formyl-7-hydroxy-9-methyl-6-[(2r)-6-methylhept-5-en-2-yl]-10-oxabicyclo[7.1.0]dec-3-en-5-yl]methyl acetate",NP0192640,C[C@H](CCC=C(C)C)[C@@H]1[C@H](O)C[C@@]2(C)O[C@H]2C\C=C(C=O)/C1COC(C)=O,378.51,3.6,1,5,76.13,7,0.73,5475
"(2s)-2-(cyclohexa-1,5-dien-1-yl)-5-hydroxy-7-methoxy-8-[(1e)-3-oxobut-1-en-1-yl]-2,3-dihydro-1-benzopyran-4-one",NP0148301,COC1=CC(O)=C2C(=O)C[C@H](OC2=C1\C=C\C(C)=O)C1=CCCC=C1,340.38,3.61,1,5,72.83,4,0.3,5476
"(3s,3ar,4r,5s)-3,5-dihydroxy-7-methyl-4-(6-methylhept-5-en-2-yl)-3h,3ah,4h,5h,6h,9h-cyclonona[c]furan-1-one",NP0148252,CC(CCC=C(C)C)[C@@H]1[C@H]2[C@@H](O)OC(=O)C2=CCC=C(C)C[C@@H]1O,334.46,3.5,2,4,66.76,4,0.65,5477
"4-[6-(4-hydroxyphenyl)-1,2,3,5,8,8a-hexahydroindolizin-7-yl]-2-methoxyphenol",NP0252172,COC1=CC(=CC=C1O)C1=C(CN2CCCC2C1)C1=CC=C(O)C=C1,337.42,3.89,2,4,52.93,3,0.33,5478
"2-hydroxy-12,14-dimethyl-16-oxa-10-azatetracyclo[7.6.2.0⁵,¹⁷.0¹²,¹⁷]heptadeca-5,8-diene-7,11,13-trione",NP0148229,CC1CC2OC34C(NC(=O)C3(C)C1=O)=CC(=O)C=C4CCC2O,317.34,0.4,2,5,92.7,0,0.59,5479
"(1r,3r,7r,8r,9s,10r,11s,12r)-10,12-dihydroxy-12-isopropyl-1,8-dimethyl-4-methylidene-5-oxotricyclo[9.3.0.0³,⁷]tetradecan-9-yl acetate",NP0310507,CC(C)[C@]1(O)CC[C@]2(C)C[C@@H]3[C@@H](CC(=O)C3=C)[C@@H](C)[C@H](OC(C)=O)[C@H](O)[C@@H]12,378.51,2.88,2,5,83.83,2,0.82,5480
"(3r)-5,6,8-trimethoxy-3-phenyl-3,4-dihydro-2h-naphthalen-1-one",NP0147977,COC1=CC(OC)=C2C(=O)C[C@@H](CC2=C1OC)C1=CC=CC=C1,312.36,3.63,0,4,44.76,4,0.32,5481
"(2r,3r)-2-(2,6-dimethoxyphenyl)-3,5,7-trimethoxy-2,3-dihydro-1-benzopyran-4-one",NP0147899,CO[C@@H]1[C@H](OC2=CC(OC)=CC(OC)=C2C1=O)C1=C(OC)C=CC=C1OC,374.39,3.05,0,7,72.45,6,0.35,5482
"14-acetyl-15-hydroxy-13,13-dimethyl-4,16-diazapentacyclo[12.2.1.1⁹,¹².0²,¹¹.0⁵,¹⁰]octadeca-2,5,7,9,15-pentaen-17-one",NP0147823,CC(=O)C12C(O)=NC(C1=O)C1=CNC3=CC=CC4=C3C1C(C4)C2(C)C,336.39,2.77,2,4,78.76,1,0.45,5483
"7-hydroxy-3,9-dimethyl-6-methylidene-2-oxo-3h,3ah,4h,5h,6ah,7h,9ah,9bh-azuleno[4,5-b]furan-4-yl acetate",NP0147721,CC1C2C(OC1=O)C1C(C(O)C=C1C)C(=C)CC2OC(C)=O,306.36,1.61,1,5,72.83,1,0.65,5484
"1,5,10,14,14-pentamethyl-4,9-dioxatetracyclo[11.3.0.0³,⁵.0⁸,¹⁰]hexadecan-16-ol",NP0220073,CC12CCC3OC3(C)CCC3C(C)(C)CC(O)C3(C)CC1O2,308.46,3.68,1,3,45.29,0,1.0,5485
"19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.0²,¹¹.0⁴,⁹.0¹⁵,²⁰]henicosa-1(21),4,6,8,10,15(20)-hexaene-14,18-dione",NP0147483,CCC1(O)C(=O)OCC2=C1C=C1C3NC4=CC=CC=C4C=C3CN1C2=O,350.37,2.07,2,6,80.56,1,0.3,5486
"4,6,9,10-tetrahydroxy-2-isopropyl-4b,8,8-trimethyl-6,7-dihydro-5h-phenanthren-3-one",NP0227819,CC(C)C1=CC2=C(O)C(O)=C3C(C)(C)CC(O)CC3(C)C2=C(O)C1=O,346.42,3.79,4,5,97.99,1,0.55,5487
"11-ethyl-13-(hydroxymethyl)-4,16,18-trimethoxy-11-azahexacyclo[7.7.2.1²,⁵.0¹,¹⁰.0³,⁸.0¹³,¹⁷]nonadecane-8,9-diol",NP0235189,CCN1CC2(CO)CCC(OC)C34C5CC6CCC(O)(C5C6OC)C(O)(C(OC)C23)C14,437.58,0.65,3,7,91.62,5,1.0,5488
"3-(1-bromo-2-hydroxyethyl)-5,12-dihydroxy-3,12a-dimethyl-2h,4h,4ah,5h,6h,6ah,8h,9h,10h,12h-cycloocta[a]naphthalene-7,11-dione",NP0260423,CC1(CC=C2C(C1)C(O)CC1C(=O)CCCC(=O)C(O)C21C)C(Br)CO,429.35,2.16,3,5,94.83,2,0.8,5489
"(1s,2r,5s,7s,10s,11s,14s,15r,16s,17s,20s,22r,24s)-20-(hydroxymethyl)-10,14,16-trimethyl-23-oxa-18-azahexacyclo[12.11.0.0²,¹¹.0⁵,¹⁰.0¹⁵,²⁴.0¹⁷,²²]pentacosane-7,22-diol",NP0147255,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@]2(O)C[C@H](CO)CN[C@@H]12,447.66,3.31,4,5,81.95,1,1.0,5490
4-{[3-hydroxy-5-(1h-indole-3-carbonyloxy)-6-methyloxan-2-yl]oxy}pentanoic acid,NP0225317,CC(CCC(O)=O)OC1OC(C)C(CC1O)OC(=O)C1=CNC2=CC=CC=C12,391.42,2.46,3,6,118.08,7,0.5,5491
"6,7-bis(3,4-dimethoxyphenyl)-2,3,5,8-tetrahydro-1h-indolizin-8a-ol",NP0147077,COC1=CC=C(C=C1OC)C1=C(CC2(O)CCCN2C1)C1=CC=C(OC)C(OC)=C1,411.5,3.82,1,6,60.39,6,0.42,5492
"1-(3,4-dihydroxy-5-oxooxolan-3-yl)-2-(1,2,5,5-tetramethyl-2,3,6,7,8,8a-hexahydronaphthalen-1-yl)ethyl acetate",NP0146990,CC1CC=C2C(CCCC2(C)C)C1(C)CC(OC(C)=O)C1(O)COC(=O)C1O,394.51,2.76,2,6,93.06,4,0.82,5493
"(1r,3s,7z,10s)-1-hydroxy-3,7,17,17-tetramethyl-15-oxatricyclo[8.5.2.0¹³,¹⁶]heptadeca-7,13(16)-diene-5,14-dione",NP0146959,C[C@H]1CC(=O)C\C(C)=C/C[C@@H]2CCC3=C([C@@](O)(C1)OC3=O)C2(C)C,332.44,3.69,1,4,63.6,0,0.7,5494
5-(chloromethyl)-5-hydroxy-6-(hydroxymethyl)-6-[2-methyl-3-(3-methylbut-2-en-1-yl)oxiran-2-yl]oxan-2-one,NP0146901,CC(C)=CCC1OC1(C)C1(CO)OC(=O)CCC1(O)CCl,318.8,1.54,2,5,79.29,5,0.8,5495
"21-hydroxy-6-(2-hydroxypropan-2-yl)-17,17-dimethyl-7,12,18-trioxapentacyclo[11.8.0.0³,¹¹.0⁴,⁸.0¹⁴,¹⁹]henicosa-1(21),3,8,10,13,15,19-heptaen-2-one",NP0293528,CC(C)(O)C1CC2=C3C(OC4=C5C=CC(C)(C)OC5=CC(O)=C4C3=O)=CC=C2O1,394.42,3.91,2,6,89.13,1,0.35,5496
Heliconol A,NP0006462,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(O[H])O[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@@]([H])(O[H])[C@@]12O[H],302.41,1.46,4,5,90.15,8,1.0,5497
"(4z)-10-acetyl-11,13-dihydroxy-4-(1-methoxyethylidene)-2,12-dimethyl-8-oxatricyclo[7.4.0.0²,⁷]trideca-1(13),6,9,11-tetraene-3,5-dione",NP0210118,CO\C(C)=C1\C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3C2(C)C1=O,358.35,2.22,2,7,110.13,2,0.32,5498
"(4ar,5r,6s,8r,8as,9ar)-8,9a-dihydroxy-3,5,8a-trimethyl-2-oxo-4h,4ah,5h,6h,7h,8h,9h-naphtho[2,3-b]furan-6-yl acetate",NP0263503,C[C@H]1[C@H](C[C@@H](O)[C@@]2(C)C[C@@]3(O)OC(=O)C(C)=C3C[C@H]12)OC(C)=O,324.37,1.3,2,6,93.06,1,0.76,5499
"2-[(1,2,4a,5-tetramethyl-2,3,4,7,8,8a-hexahydronaphthalen-1-yl)methyl]-6-(acetyloxy)-7-hydroxy-1,5-dioxaspiro[2.4]heptan-4-yl acetate",NP0146672,CC1CCC2(C)C(CCC=C2C)C1(C)CC1OC11C(O)C(OC(C)=O)OC1OC(C)=O,436.55,3.48,1,7,94.59,4,0.83,5500
Retymicin,NP0005818,[H]OC1=C2OC3=C(C(=O)C2=C([H])C([H])=C1[H])[C@@]1(O[H])C(=O)C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]1(O[H])C([H])=C3[H],328.32,1.44,3,6,107.97,0,0.33,5501
"(3s,3ar,6r,6ar,11s,13as)-1,6,11-trihydroxy-4,5,8-trimethyl-3-(2-methylpropyl)-3h,3ah,6h,6ah,7h,10h,11h,12h-cyclonona[d]isoindol-13-one",NP0204654,CC(C)C[C@@H]1N=C(O)[C@]23[C@H]1C(C)=C(C)[C@H](O)[C@@H]2C\C(C)=C/C[C@H](O)CC3=O,375.51,3.36,3,4,90.12,2,0.73,5502
"1-[3-(3,4,5-trimethoxyphenyl)propanoyl]-5,6-dihydropyridin-2-one",NP0222934,COC1=CC(CCC(=O)N2CCC=CC2=O)=CC(OC)=C1OC,319.36,1.96,0,5,65.07,6,0.41,5503
"(3s)-7-(4-hydroxyphenyl)-5-methoxy-2,2-dimethyl-3,4-dihydro-1-benzopyran-3-ol",NP0191748,COC1=CC(=CC2=C1C[C@H](O)C(C)(C)O2)C1=CC=C(O)C=C1,300.35,3.14,2,4,58.92,2,0.33,5504
"3-(furan-3-yl)-6-hydroxy-3a,7-dimethyl-1-oxo-3,4,5,6-tetrahydro-2-benzofuran-4-yl acetate",NP0146561,CC(=O)OC1CC(O)C(C)=C2C(=O)OC(C3=COC=C3)C12C,306.31,1.9,1,6,85.97,2,0.5,5505
"(1s,4r,6r,9r,10s,13r,14r)-5,5,9,14-tetramethyltetracyclo[11.2.1.0¹,¹⁰.0⁴,⁹]hexadecane-6,13,14-triol",NP0146501,C[C@@]1(O)C[C@@]23C[C@]1(O)CC[C@@H]2[C@@]1(C)CC[C@@H](O)C(C)(C)[C@@H]1CC3,322.49,3.26,3,3,60.69,0,1.0,5506
"(3s,4's,5s,6's,8's,12's)-5-(furan-3-yl)-6'-hydroxy-6',12'-dimethyl-3'-oxaspiro[oxolane-3,7'-tricyclo[6.3.1.0⁴,¹²]dodecan]-1'(11')-ene-2,2'-dione",NP0314470,C[C@]12[C@@H]3C[C@](C)(O)[C@]4(C[C@H](OC4=O)C4=COC=C4)[C@H]1CCC=C2C(=O)O3,358.39,2.68,1,6,85.97,1,0.6,5507
"(2r)-2-[(2s,3r,6s)-2-[2-(furan-3-yl)ethyl]-1,5-dioxaspiro[2.5]octan-6-yl]-6-methylhept-5-ene-1,2-diol",NP0247028,CC(C)=CCC[C@@](O)(CO)[C@@H]1CC[C@]2(CO1)O[C@H]2CCC1=COC=C1,350.46,3.0,2,5,75.36,8,0.7,5508
"3,5,8a-trimethyl-2,7-dioxo-4h,4ah,8h,9h,9ah-naphtho[2,3-b]furan-8-yl acetate",NP0146388,CC(=O)OC1C(=O)C=C(C)C2CC3=C(C)C(=O)OC3CC12C,304.34,2.11,0,5,69.67,1,0.59,5509
"(3's,5's,6s,7s,8as)-3,5',7-trimethyl-2,4-dioxo-5,7,8,8a-tetrahydrospiro[cyclohepta[b]furan-6,2'-oxolan]-3'-yl acetate",NP0170156,C[C@H]1C[C@H](OC(C)=O)[C@@]2(CC(=O)C3=C(C)C(=O)O[C@H]3C[C@@H]2C)O1,322.36,1.71,0,6,78.9,1,0.71,5510
"(1r,3as,3br,5r,9bs,11r,11ar)-1-ethynyl-7-methoxy-11a-methyl-2h,3h,3ah,3bh,4h,5h,9bh,10h,11h-cyclopenta[a]phenanthrene-1,5,11-triol",NP0184550,COC1=CC=C2[C@H]3C[C@@H](O)[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3C[C@@H](O)C2=C1,342.44,2.38,3,4,69.92,1,0.62,5511
"1-[6-(acetyloxy)-3-hydroxy-7-methyl-4-methylidene-octahydro-1h-naphtho[4,4a-c]furan-7-yl]-4-hydroxy-4-methylpentan-3-yl acetate",NP0146361,CC(=O)OC(CCC1(C)CCCC23COC(O)C2C(=C)CC(OC(C)=O)C13)C(C)(C)O,438.56,3.12,2,7,102.29,6,0.83,5512
